id,well_name,operator_name,status,county,latitude,longitude
31001010710000,Altamont Well 1,Unknown,UN,Albany,42.697347,-74.03638999999998
31001010720000,Finch 1,Corona Typewriter,UN,Albany,42.49029,-74.12681
31001010730000,Hilton James 1,Belmont Quadrangle Drilling,UN,Albany,42.6448,-73.90768
31001210070000,1,Turf Western Ave. Inc.,PA,Albany,42.67931,-73.83588
31001210080000,2,Turf Western Ave. Inc.,PA,Albany,42.6792,-73.83598999999998
31001210090000,3,Turf Western Ave. Inc.,PA,Albany,42.67925,-73.83625
31001210100000,4,Turf Western Ave. Inc.,PA,Albany,42.67931,-73.83638
31001210110000,5,Turf Western Ave. Inc.,PA,Albany,42.67938,-73.83651
31001210140000,Bldg. 300-1,Rosenblum Development Corporation,IN,Albany,42.68063,-73.84654
31001210150000,Bldg. 300-2,Rosenblum Development Corporation,IN,Albany,42.68047,-73.84668999999998
31001210160000,Bldg. 300-3,Rosenblum Development Corporation,IN,Albany,42.68032,-73.84682999999998
31001210170000,Bldg. 300-4,Rosenblum Development Corporation,IN,Albany,42.68016,-73.84699
31001210180000,Bldg. 300-5,Rosenblum Development Corporation,IN,Albany,42.68022,-73.84717
31001210190000,Bldg. 200-1,Rosenblum Development Corporation,IN,Albany,42.68093,-73.84849
31001210200000,Bldg. 200-2,Rosenblum Development Corporation,IN,Albany,42.68104,-73.84869999999998
31001210210000,Bldg. 200-3,Rosenblum Development Corporation,IN,Albany,42.68119,-73.84894
31001210220000,Bldg. 200-4,Rosenblum Development Corporation,IN,Albany,42.68135,-73.84878
31001210230000,Bldg. 200-5,Rosenblum Development Corporation,IN,Albany,42.68152,-73.84861999999998
31001300000000,ESP Test Well At Pump Station 2022,New York State Office of General Services,VP,Albany,42.648171,-73.747719
31003000050000,Hilligass SC-473,National Fuel Gas Supply Corporation,PA,Allegany,42.04208,-77.86255
31003000060000,Tait EC-479,National Fuel Gas Supply Corporation,AC,Allegany,42.03843,-77.87784999999998
31003000070000,Norris EC-468,National Fuel Gas Supply Corporation,AC,Allegany,42.03885,-77.85204
31003000090000,Wilson (NFGSC) EC-458,National Fuel Gas Supply Corporation,AC,Allegany,42.04861,-77.8408
31003000100000,Stout (Clark) EC-463,National Fuel Gas Supply Corporation,PA,Allegany,42.04504,-77.84863
31003000120000,Billings EC-542,National Fuel Gas Supply Corporation,AC,Allegany,42.0603,-77.81521999999998
31003000120001,Billings EC-542,National Fuel Gas Supply Corporation,AR,Allegany,42.0603,-77.81521999999998
31003000130000,Forsythe Farms Corp (McLean) EC-541,National Fuel Gas Supply Corporation,AC,Allegany,42.06068,-77.82258
31003000130001,Forsythe Farms Corp (McLean) EC-541,National Fuel Gas Supply Corporation,AR,Allegany,42.06068,-77.82258
31003000140000,Clark EC-444,National Fuel Gas Supply Corporation,AC,Allegany,42.09336,-77.76509
31003000150000,Barney H. (Livermore) 454,Penn-York Energy Corp.,PA,Allegany,42.07804,-77.79220999999998
31003000160000,Barney (Livermore) EC-452,National Fuel Gas Supply Corporation,AC,Allegany,42.07888,-77.80122
31003000170000,Newton C (Heselton) EC-446,National Fuel Gas Supply Corporation,AC,Allegany,42.09153,-77.77952999999998
31003000180000,Nye SC-451Nye EC-451,National Fuel Gas Supply Corporation,AC,Allegany,42.08182,-77.80669
31003000190000,Wilson (NFGSC) EC-449,National Fuel Gas Supply Corporation,AC,Allegany,42.08187,-77.80069
31003000200000,Crandell EC-431,National Fuel Gas Supply Corporation,PA,Allegany,42.10265,-77.77001
31003000210000,Cornelius (Crandell) EC-432,National Fuel Gas Supply Corporation,AC,Allegany,42.10252,-77.76622999999998
31003000220000,Martin (Lafever) EC-433,National Fuel Gas Supply Corporation,AC,Allegany,42.10531,-77.76705
31003000230000,Hess EC-430,National Fuel Gas Supply Corporation,AC,Allegany,42.10261,-77.77590999999998
31003000440000,Stallknecht (Graves) EC-485,National Fuel Gas Supply Corporation,AC,Allegany,42.04641,-77.83437999999998
31003000460000,Allegany County Farm 1,Christman Raymond L.,PA,Allegany,42.33986,-77.96873999999998
31003000550000,Clarence Clark Est 1,Empire Gas & Fuel,PA,Allegany,42.11682,-77.79345999999998
31003000590000,Clark Herb 1,Belmont Quadrangle Drilling,UN,Allegany,42.13731,-77.89754999999998
31003000840000,Greene EC-447,National Fuel Gas Supply Corporation,AC,Allegany,42.0856,-77.79156999999998
31003000850000,Woodruff Fanny Est,Kerr & Kaufman,PA,Statewide,0.0,0.0
31003000860000,Sheldon Arthur 1,Penn United,UN,Allegany,42.39171,-78.03588
31003000870000,Smith J S 1,Kerr & Kaufman,UM,Allegany,42.42128,-78.01327
31003002320000,Hackett Geo 1,Empire Gas & Fuel,PA,Allegany,42.18171,-78.07935999999998
31003002330000,Vossler Katherine 1,Hanley & Bird,PA,Allegany,42.0834,-78.01117
31003002340000,Genung Deforest 1,Hanley & Bird,PA,Allegany,42.08945,-78.00416
31003002350000,Gadsby J 1,Allegany Gas,PA,Allegany,42.00592,-78.14665999999998
31003002360000,Vossler C W 1,Cabot G.L.,PA,Allegany,42.05782,-78.01031999999998
31003002370000,Carpenter Forest 1,Witner & Fairman,PA,Allegany,42.21431,-77.99973
31003002380000,Gillette Elmer 1,Cabot G.L.,PA,Allegany,42.17719,-78.07325
31003002390000,Ballard Hazzard 1,Columbia Gas Transmission LLC,PA,Allegany,42.10816,-78.17745999999998
31003002400000,Wightman 1,National Drilling & Dev.,PA,Allegany,42.12115,-78.14396999999998
31003002410000,Briggs 1,Chautauqua Holdings Co.,PA,Allegany,42.1578,-78.21922999999998
31003002420000,Moore R B 1,Columbia Gas Transmission LLC,PA,Allegany,42.10883,-78.14156
31003002430000,Dick F Or W C Phillips 1,Columbia Gas Transmission LLC,PA,Allegany,42.10527,-78.14801
31003002440000,Newton L 1,Cady et al,PA,Allegany,42.14336,-78.08988999999998
31003002450000,Reed Don 1,Columbia Gas Transmission LLC,PA,Allegany,42.12177,-78.12882999999998
31003002460000,Chadwick F 1,Columbia Gas Transmission LLC,PA,Allegany,42.09385,-78.17064999999998
31003002470000,Gilbert A 1,Vandermark Exploration Inc.,UM,Allegany,42.11943,-78.14544999999998
31003002480000,Monaghan Dan 1,Penn York Natural Gas,PA,Allegany,42.43475,-77.84233
31003002500000,Conrad Grace 1,Allegany Gas,PA,Allegany,42.26355,-77.97669
31003002510000,Lorello Ernest 1,Penn York Natural Gas,PA,Allegany,42.32048,-77.79859999999998
31003002520000,Terwilligar F 1,Witmer Oil & Gas,PA,Allegany,42.33409,-77.98399
31003002530000,Engalls Est Frank Engle 1,Witmer Oil & Gas,PA,Allegany,42.32955,-77.95203999999998
31003002540000,Snyder Wm 1,Beers & Fralick,UM,Allegany,42.33918,-77.96639
31003002560000,Scott (Bassett) EC-455,National Fuel Gas Supply Corporation,AC,Allegany,42.0781,-77.79062999999998
31003002580000,Perry (Johnson) EC-488,National Fuel Gas Supply Corporation,AC,Allegany,42.03147,-77.88899
31003002590000,Stout G (Wilson C) EC-483,National Fuel Gas Supply Corporation,AC,Allegany,42.04878,-77.8615
31003002600000,Carpenter Forest 1,Witner & Fairman,PA,Allegany,42.21789,-77.99921
31003002610000,Loring Milton 1,Loring Robert H.,PA,Allegany,42.04985,-77.89463
31003002640000,Regan C 1,Cunningham Natural Gas Corp.,PA,Allegany,42.00028,-77.95507999999998
